ZINC000013809439	CCCN1CCO[C@@H]2c3cc(O)ccc3SC[C@H]21
ZINC000000538069	CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl
ZINC000000643233	O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
ZINC000101480739	COc1cc(N)c(Cl)cc1C(=O)N[C@H]1C[C@H]2CCC[C@H]1N2Cc1ccc(F)cc1
ZINC000003780178	CCN1CCC[C@H]1CNC(=O)c1cc(Br)cc(OC)c1OC
ZINC000026379848	CCN1CCC[C@H]1CNC(=O)c1c(O)c(I)cc(OC)c1OC
ZINC000005650383	CCN1CCC[C@H]1CNC(=O)c1cc(CCCF)cc(OC)c1OC
ZINC000012356034	NC(=O)CN1CC[C@@H](N2CC(=O)N3CCC[C@H]3C2=O)C1=O
ZINC000013527706	Oc1ccc2c(c1)O[C@@H](CNCc1ccccc1)CC2
ZINC000013834045	COc1cc(Br)cc(C(=O)NC2C[C@H]3CCC[C@@H](C2)N3Cc2ccc(F)cc2)c1OC
ZINC000003995320	O=C(CCCN1CCC2(CC1)C(=O)N(Cc1cccc(F)c1)CN2c1ccccc1)c1ccc(F)cc1
ZINC000013448520	O=C(CCCN1CCC2(CC1)C(=O)N(Cc1ccccc1)CN2c1ccccc1)c1ccc(F)cc1
ZINC000013821895	CCCc1cc(OC)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
ZINC000013820621	COc1cc(Br)cc(C(=O)NC[C@H]2CCCN2Cc2ccccc2)c1OC
ZINC000003802831	CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(OC)c1OC
ZINC000006485064	COc1cccc(C(=O)NC2C[C@H]3CCC[C@@H](C2)N3Cc2ccc(F)cc2)c1OC
ZINC000001640741	CCCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
ZINC000071316467	O=C(NCC[C@H](F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1
ZINC000071316468	O=C(NCC[C@@H](F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1
ZINC000013556560	NC(=O)[C@H]1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N21
ZINC000027710897	NC(=O)[C@@H]1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N21
ZINC000103268383	Oc1ccc2c(c1)O[C@@H](CNCc1cccc(I)c1)CC2
ZINC000013448539	Cc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
ZINC000027203483	COc1cc(N)c(Cl)cc1C(=O)N1C[C@H]2CCC[C@@H](C1)N2Cc1ccccc1
ZINC000034343070	CCc1cc(OC)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
ZINC000013448523	O=C(CCCN1CCC2(CC1)C(=O)N(CCc1ccccc1)CN2c1ccccc1)c1ccc(F)cc1
ZINC000013448508	CCCCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
ZINC000013834041	COc1cc(N)c(Cl)cc1C(=O)NC1C[C@H]2CCC[C@@H](C1)N2Cc1ccccc1
ZINC000012356332	COc1cccc(C(=O)NC2C[C@H]3CCC[C@@H](C2)N3Cc2ccccc2)c1OC
ZINC000013448511	CC(C)CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
ZINC000000015515	CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
ZINC000002008410	CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
ZINC000004899446	CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O
ZINC000052971454	O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1
ZINC000013448527	O=C(CCCN1CCC2(CC1)C(=O)N(Cc1ccccc1F)CN2c1ccccc1)c1ccc(F)cc1
ZINC000013448546	COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
ZINC000001895569	CCCCCCNC[C@H]1CCc2ccc(O)cc2O1
ZINC000013556562	NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N21
ZINC000013862888	COc1cc(I)cc(C(=O)NC2C[C@H]3CCC[C@@H](C2)N3Cc2ccccc2)c1OC
ZINC000000011665	CCCN1CCc2cc(O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3
ZINC000013448505	CCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
ZINC000064540109	O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4CCC5)CC3)cc21
